BPOS,V1,A1,V2,A2,V3,A3,V4,A4,V5,A5,V6,A6,V7,A7,V8,A8,V9,A9,V10,A10,V11,A11,V12,A12,V13,A13,V14,A14,APP_AMPS,CLMBS,FRNT,ROOF,RH_WNG,LH_WNG,REAR
52,0,0,0,0,189,209,264,152,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,290,53,1,0,414,14208,53.46567007,69.38091956,74.6193031,72.31299444,144.2211128
53,0,0,0,0,198,209,264,162,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,290,55,1,0,426,15060,66.38358989,70.59148294,76.43462268,75.12254767,137.4677568
54,0,0,0,0,210,209,264,173,113,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,290,59,1,0,441,15942,78.04365853,72.64679907,77.24434206,76.54332574,136.5218746
55,0,0,0,0,224,209,267,165,274,46,2,0,1,0,0,0,1,0,0,0,0,0,1,0,291,46,1,0,466,16874,88.57628768,77.51674983,78.85178971,78.40896085,142.6462119
56,0,0,0,0,236,202,265,173,265,44,2,0,1,0,0,0,1,0,0,0,0,0,1,0,290,51,0,0,470,17814,92.25166763,79.12381446,78.43209326,77.99477717,142.1976475
57,0,0,0,0,236,181,264,179,265,50,2,0,1,0,0,0,1,0,0,0,0,0,0,0,290,53,1,0,463,18740,90.54523613,78.74619141,77.60240224,77.42595594,138.6802143
58,0,0,0,0,235,164,265,182,265,55,2,0,1,0,0,0,1,0,0,0,0,0,0,0,290,53,1,0,454,19648,90.47107516,78.33824455,75.54169588,75.12400752,134.5249769
59,0,0,0,0,236,151,265,178,265,55,2,0,1,0,0,0,1,0,0,0,0,0,0,0,290,53,1,0,437,20522,87.04980065,76.95122159,73.0028172,72.03442015,127.9617404
60,0,0,0,0,236,133,265,181,265,62,2,0,1,0,0,0,1,0,0,0,0,0,1,0,290,54,1,0,430,21382,83.82316519,77.33772097,73.51357901,72.04064083,123.284894
61,0,0,0,0,236,117,265,184,264,71,2,0,1,0,0,0,1,0,0,0,0,0,1,0,290,56,1,0,428,22238,82.18840165,77.75480948,75.03449614,73.1571613,119.8651314
62,0,0,0,0,236,103,265,185,265,80,2,0,1,0,0,0,1,0,0,0,0,0,0,0,290,58,1,0,426,23090,58.70403273,78.49796414,78.45292297,75.09441711,135.250663
63,0,0,0,0,236,88,265,185,265,92,2,0,1,0,0,0,1,0,0,0,0,0,0,0,290,59,1,0,424,23938,61.80227533,78.26445008,80.49551432,77.15954362,126.2782167
64,0,0,0,0,85,0,265,205,265,105,2,0,1,0,0,0,1,0,0,0,0,0,0,0,290,63,1,0,373,24684,57.35010634,69.27503336,72.39098736,69.56200564,104.4218673
65,0,0,0,0,49,0,265,200,265,116,2,0,1,0,0,0,1,0,0,0,0,0,1,0,290,65,1,0,381,25446,61.97417955,71.13354717,74.89459103,72.27534817,100.7223341
66,0,0,0,0,30,0,265,196,265,126,2,0,1,0,0,0,1,0,0,0,0,0,1,0,290,66,1,0,388,26222,66.01440374,72.65327638,76.33195085,74.09214838,98.90822065
67,0,0,0,0,17,0,265,189,265,137,2,0,1,0,0,0,1,0,0,0,0,0,0,0,290,67,1,0,393,27008,69.52026846,73.19008856,76.48211323,74.72613844,99.0813913
68,0,0,0,0,11,0,265,182,265,146,114,0,1,0,0,0,1,0,0,0,0,0,0,0,290,68,0,0,396,27800,72.22067459,73.00341913,76.17489974,75.15459731,99.44640924
69,0,0,0,0,7,0,266,171,266,143,274,26,1,0,0,0,1,0,0,0,0,0,0,0,290,61,1,0,401,28602,74.95743096,73.51914477,76.35148339,75.90551865,100.2664222
70,0,0,0,0,5,0,266,160,265,153,265,22,1,0,0,0,1,0,0,0,0,0,1,0,290,63,1,0,398,29398,76.66676256,72.56216791,74.85608529,74.92470799,98.99027626
71,0,0,0,0,4,0,266,148,265,159,265,25,1,0,0,0,1,0,0,0,0,0,1,0,290,62,1,0,394,30186,77.88003489,71.55329237,73.65412507,73.9856225,96.92692517
