V1,A1,V2,A2,V3,A3,V4,A4,V5,A5,V6,A6,V7,A7,V8,A8,V9,A9,V10,A10,V11,A11,V12,A12,V13,A13,V14,A14,Front_V,Roof_V,RHWing_V,LHWing_V,Rear_V
0,0,0,0,240,118,260.75,187,265,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,78,0,0,123.5892785,101.3950667,93.56075898,96.01449275,169.5198541
0,0,0,0,240,104,262,188,265,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,79,0,0,124.1938734,105.7420137,99.515543,102.0531401,169.8237439
0,0,0,0,0,75,262.75,191,265,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.5,81,0,0,92.6541717,98.05903761,96.18490109,98.37962963,169.2666126
0,0,0,0,0,0,256.75,199,265,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,83,0,0,86.80975413,99.52486858,100.5248284,103.2608696,169.165316
0,0,0,0,0,0,258.75,197,265,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.5,84,0,0,97.54131399,105.4892843,107.5898264,111.060789,169.3172609
0,0,0,0,0,0,261.25,195,264,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.5,86,0,0,108.5751713,110.6449656,112.9895034,116.8478261,169.5198541
0,0,0,0,0,0,263.5,192,262.5,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,88,0,0,119.4578799,114.9413668,116.5724667,121.2258454,170.2795786
0,0,0,0,0,0,265,184,260.5,148,52,0,0,0,0,0,0,0,0,0,0,0,0,0,288,90,0,0,129.484079,118.3784877,119.7517158,124.3458132,171.697731
0,0,0,0,0,0,265,173,259.25,155,169,0,0,0,0,0,0,0,0,0,0,0,0,0,289,93,0,0,138.1499395,121.107966,122.8805006,127.0632045,173.3184765
0,0,0,0,0,0,265,159,258.75,157,252.5,12,0,0,0,0,0,0,0,0,0,0,0,0,290,88,0,0,146.2615881,124.1912657,126.110214,129.6799517,179.7508104
0,0,0,0,0,0,265,148,258.75,157,265,32,0,0,0,0,0,0,0,0,0,0,0,0,290,83,0,0,153.6174929,126.6680146,128.5829633,131.7934783,182.1312804
0,0,0,0,0,0,265,133,259,163,265,36,0,0,0,0,0,0,0,0,0,0,0,0,290,82,0,0,159.8649738,128.8414881,130.6519984,133.4541063,184.106564
0,0,0,0,0,0,265,119,259.75,167,265,40,0,0,0,0,0,0,0,0,0,0,0,0,290,80,0,0,164.802499,130.812778,132.2668551,135.3160225,185.8286062
0,0,0,0,0,0,265,103,261,173,265,46,0,0,0,0,0,0,0,0,0,0,0,0,290,79,0,0,168.6819831,132.4807926,134.0331046,137.7314815,187.2467585
0,0,0,0,0,0,265,90,262.25,177,265,52,0,0,0,0,0,0,0,0,0,0,0,0,290,77,0,0,171.9568722,133.9971694,135.7488898,140.1972625,188.1077796
0,0,0,0,0,0,265,72,264.75,184,265,66,0,0,0,0,0,0,0,0,0,0,0,0,290,76,0,0,178.254736,132.733522,133.6798547,138.8385668,188.0571313
0,0,0,0,0,0,265,56,265,184,265,85,0,0,0,0,0,0,0,0,0,0,0,0,290,75,0,0,181.4288593,132.0764254,128.9362132,133.252818,185.0182334
0,0,0,0,0,0,265,40,265,176,265,106,0,0,0,0,0,0,0,0,0,0,0,0,289,74,0,0,182.9403466,133.8455317,127.8764635,130.9883253,179.5988655
0,0,0,0,0,0,195,31,265,167,265,121,0,0,0,0,0,0,0,0,0,0,0,0,288,72,0,0,181.2273277,135.4630004,129.7941058,132.4979871,177.3196921
0,0,0,0,0,0,0,0,265,168,265,133,0,0,0,0,0,0,0,0,0,0,0,0,288,81,0,0,180.0685208,137.585928,133.2256762,135.6179549,174.1288493
0,0,0,0,0,0,0,0,265,155,265,144,0,0,0,0,0,0,0,0,0,0,0,0,288,79,0,0,180.6227328,139.9110392,137.5151393,140.4488728,169.8743922
0,0,0,0,0,0,0,0,265,143,265,153,0,0,0,0,0,0,0,0,0,0,0,0,288.5,76,0,0,180.7234986,141.8317833,141.5018167,145.0785024,164.6069692
0,0,0,0,0,0,0,0,265,134,265,159,0,0,0,0,0,0,0,0,0,0,0,0,289,74,0,0,181.1769448,143.398706,144.6306015,148.9533011,158.3772285
0,0,0,0,0,0,0,0,265,121,265,166,0,0,0,0,0,0,0,0,0,0,0,0,289.5,72,0,0,182.2853688,144.5612616,146.9014937,151.8719807,151.48906
0,0,0,0,0,0,0,0,265,112,265,171,78,0,0,0,0,0,0,0,0,0,0,0,290,70,0,0,184.5022168,145.6732713,148.5668147,153.6332528,144.1450567
0,0,0,0,0,0,0,0,265,99,265,170,179.5,8,0,0,0,0,0,0,0,0,0,0,290,67,0,0,187.3740427,149.4642135,150.9386354,155.6964573,168.7601297
