V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Coulombs,App_Amps,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
0,0,230.75,265,0,0,0,0,0,0,0,0,290,0,11602,435,0,0,305,77,0,0,0,0,0,0,0,0,53,0
0,0,232.5,265,0,0,0,0,0,0,0,0,290,0,12498,448,0,0,306,86,0,0,0,0,0,0,0,0,56,0
0,0,235,265,0,0,0,0,0,0,0,0,290,0,13412,457,0,0,306,94,0,0,0,0,0,0,0,0,57,0
0,0,237.5,265,0,0,0,0,0,0,0,0,290,0,14350,469,0,0,304,105,0,0,0,0,0,0,0,0,60,0
0,0,240,265,0,0,0,0,0,0,0,0,290,0,15304,477,0,0,300,115,0,0,0,0,0,0,0,0,62,0
0,0,240,265,0,0,0,0,0,0,0,0,290,0,16266,481,0,0,288,127,0,0,0,0,0,0,0,0,66,0
0,0,240,265,0,0,0,0,0,0,0,0,290,0,17230,482,0,0,274,139,0,0,0,0,0,0,0,0,69,0
0,0,240,265,0,0,0,0,0,0,0,0,290,0,18194,482,0,0,258,151,0,0,0,0,0,0,0,0,73,0
0,0,240,265,0,0,0,0,0,0,0,0,290,0,19148,477,0,0,241,161,0,0,0,0,0,0,0,0,75,0
0,0,240,265,72.25,0,0,0,0,0,0,0,290,0,20096,474,0,0,223,171,0,0,0,0,0,0,0,0,80,0
0,0,240,265,175,0,0,0,0,0,0,0,290,0,21030,467,0,0,204,180,0,0,0,0,0,0,0,0,83,0
0,0,240,265,265,0,0,0,0,0,0,0,290,0,21978,474,0,0,182,174,46,0,0,0,0,0,0,0,72,0
0,0,240,265,265,0,0,0,0,0,0,0,290,0,22918,470,0,0,164,178,54,0,0,0,0,0,0,0,74,0
0,0,240,265,265,0,0,0,0,0,0,0,290,0,23828,455,0,0,155,175,53,0,0,0,0,0,0,0,72,0
0,0,240,265,265,0,0,0,0,0,0,0,290,0,24728,450,0,0,140,178,59,0,0,0,0,0,0,0,73,0
0,0,240,265,265,0,0,0,0,0,0,0,290,0,25618,445,0,0,123,180,67,0,0,0,0,0,0,0,75,0
0,0,240,265,265,0,0,0,0,0,0,0,290,0,26504,443,0,0,106,183,77,0,0,0,0,0,0,0,77,0
0,0,240,265,265,0,0,0,0,0,0,0,290,0,27386,441,0,0,94,182,86,0,0,0,0,0,0,0,79,0
0,0,70,265,265,0,0,0,0,0,0,0,290,0,28222,418,0,0,51,189,97,0,0,0,0,0,0,0,81,0
0,0,0,265,265,0,0,0,0,0,0,0,290,0,29014,396,0,0,0,200,112,0,0,0,0,0,0,0,84,0
0,0,0,265,265,0,0,0,0,0,0,0,290,0,29814,400,0,0,0,194,120,0,0,0,0,0,0,0,86,0
0,0,0,265,265,0,0,0,0,0,0,0,290,0,30626,406,0,0,0,187,132,0,0,0,0,0,0,0,87,0
0,0,0,265,265,0,0,0,0,0,0,0,290,0,31450,412,0,0,0,181,142,0,0,0,0,0,0,0,89,0
0,0,0,265,265,58,0,0,0,0,0,0,290,0,32272,411,0,0,0,172,150,0,0,0,0,0,0,0,89,0
0,0,0,265,265,159,0,0,0,0,0,0,290,0,33084,406,0,0,0,160,157,0,0,0,0,0,0,0,89,0
0,0,0,265,265,265,0,0,0,0,0,0,290,0,33906,411,0,0,0,148,157,26,0,0,0,0,0,0,80,0
0,0,0,265,265,265,0,0,0,0,0,0,290,0,34716,405,0,0,0,134,163,29,0,0,0,0,0,0,79,0
0,0,0,265,265,265,0,0,0,0,0,0,290,0,35518,401,0,0,0,122,167,34,0,0,0,0,0,0,78,0
0,0,0,265,265,265,0,0,0,0,0,0,290,0,36300,391,0,0,0,106,170,39,0,0,0,0,0,0,76,0
0,0,0,265,265,265,0,0,0,0,0,0,290,0,37068,384,0,0,0,92,172,45,0,0,0,0,0,0,75,0
0,0,0,265,265,265,0,0,0,0,0,0,290,0,37830,381,0,0,0,80,174,52,0,0,0,0,0,0,75,0
0,0,0,265,265,265,0,0,0,0,0,0,290,0,38590,380,0,0,0,67,176,64,0,0,0,0,0,0,73,0
0,0,0,265,265,265,0,0,0,0,0,0,290,0,39352,381,0,0,0,52,173,84,0,0,0,0,0,0,72,0
