,Front_A,Roof_A,RHWing_A,LHWing_A,Rear_A,Front_As,Roof_As,RHWing_As,LHWing_As,Rear_As,Eff_Amps,App_Volts,Front_V,Roof_V,RHWing_V,LHWing_V,Rear_V
86,28.064653975703216,52.1779966511723,41.7908190445815,38.3099347095287,182.27377997221961,318.1589969890559,1106.388117728248,614.6508813842604,521.7621882054978,6321.990613789502,342.6171843532053,149.17838778700002,12.18402345556724,22.65261975482677,18.143117670624644,16.631922256595413,79.13256341728257
88,31.462462762079635,54.385068156716656,44.73869504198318,41.304456645910875,179.83801983352183,381.08392251321516,1215.1582540416814,704.1282714682268,604.3711014973195,6681.666653456546,351.72870244021215,168.176279462,15.000877142781267,25.93006567826501,21.330805313245182,19.69340684739484,85.74433799172193
90,36.20067234213931,57.75422403833795,49.119351823542644,45.71903070717262,177.09446707035121,453.4852671974938,1330.6667021183573,802.366975115312,695.8091629116648,7035.855587597248,365.88774598154373,199.621013156,19.696528349654287,31.42366253124081,26.725489973368724,24.875399438211765,96.35583997587032
92,40.70310898313408,60.76911173556947,53.15361001387995,49.80901083262946,173.6140426769222,534.8914851637619,1452.2049255894963,908.6741951430719,795.4271845769237,7383.083672951092,378.04888424213516,233.53355878199997,25.077350942024633,37.44009682551386,32.74815525039893,30.687534095799144,106.96431760229596
94,45.6944627989274,64.09882052616159,57.643519842475094,54.36414268182669,169.43436147806264,626.2804107616167,1580.4025666418195,1023.961234828022,904.1554699405771,7721.952395907218,391.23530732745337,263.3098164,30.674955531317288,43.02990666291515,38.69642620851722,36.49496147052563,113.74226077866727
96,50.934769119262185,67.52201710699141,62.32391534985422,59.123553287981785,164.53527052017793,728.1499490001411,1715.4466008558022,1148.6090655277305,1022.4025765165406,8051.022936947574,404.43952538426754,291.5675432,36.62920007980744,48.557743898142874,44.81958404015754,42.51807753842651,118.3237982282257
98,56.42412861442892,71.03977686410282,67.1959114231694,64.08842969193219,158.91343015949712,840.9982062289989,1857.5261545840078,1283.0008883740693,1150.579435900405,8368.849797266568,417.66167675313045,319.86834903,43.109493578023816,54.276226850300674,51.339414238216634,48.96521782568506,121.41397067443067
100,62.8023277610303,75.15518028168759,72.91554293472078,69.91437947390322,152.1410685203557,966.6028617510595,2007.8365151473831,1428.8319742435108,1290.4081948482115,8673.13193430728,432.9284989716976,350.02815884,50.659459355983536,60.62388030200151,58.817278203070856,56.396391529212714,122.72450006009812
102,68.49270599068544,78.62166591327052,77.86237365641054,74.9835536950117,145.21476919294162,1103.5882737324305,2165.0798469739243,1584.556721556332,1440.3753022382348,8963.561472693162,445.1750684483198,382.24840373999996,58.67927050210157,67.35698253881311,66.7064794657341,64.24012844633147,124.4088198753847
104,74.39848458057793,82.17417924074165,82.97890923601375,80.2347569480585,137.651329730621,1252.3852428935863,2329.428205455408,1750.5145400283595,1600.8448161343517,9238.864132154404,457.43765973601285,416.12832282,67.53222810423813,74.5903017789829,75.32076302304466,72.8298692997693,124.94745088728234
106,80.15608922948746,85.5466132001389,87.90465230693447,85.30561878827483,129.78695455849729,1412.6974213525614,2500.5214318556855,1926.3238446422286,1771.4560537109014,9498.438041271398,468.6999280833329,449.29569183000007,76.67402827100352,81.83038247059443,84.08598599213028,81.5998570978368,124.14887900200642
108,86.09655385146883,88.9955414361385,92.97779574607318,90.53459765129197,121.37173226898645,1584.890529055499,2678.5125147279623,2112.279436134375,1952.5252490134853,9741.18150580937,479.9762209539589,479.85800752,85.89638943805286,88.78863721580312,92.76163325043684,90.32411530534368,121.08955719335204
110,90.66941773201538,91.4173856276649,96.67801915169632,94.38877138311013,114.04014092473531,1766.2293645195298,2861.3472859832923,2305.6354744377677,2141.302791779706,9969.261787658841,487.1937348192221,509.39896261,94.60774286717212,95.38819956486108,100.87733444858773,98.48865070419907,118.99359893356639
112,94.92236838421962,93.59976020528916,100.06090083346137,97.92692984198446,106.88929836025699,1956.074101287969,3048.5468063938706,2505.7572761046904,2337.1566514636747,10183.040384379356,493.39925762521165,528.01460677,101.37635978018697,99.96382441178203,106.86427293684076,104.58520832146176,114.15694900658002
114,91.76813637498569,90.52402840556847,96.19719933727583,94.15448008606064,107.61268110487003,2139.6103740379403,3229.5948632050076,2698.151674779242,2525.465611635796,10398.265746589095,480.2565253087607,543.10442663,103.56156949116588,102.15757700511564,108.55982629215055,106.25459029148432,121.44235017297866
116,89.38759969126215,88.01055289193577,93.12093498286617,91.1722317521479,107.4617039270241,2318.3855734204644,3405.615968988879,2884.3935447449744,2707.8100751400916,10613.189154443144,469.1530232452361,556.38187091,105.78181462939791,104.15220929526353,110.19986571399873,107.89375877487595,127.17081657668568
118,89.58744148430478,87.39901624376981,92.62681996612791,90.78749540127085,104.76950267739335,2497.560456389074,3580.414001476419,3069.64718467723,2889.3850659426334,10822.72815979793,465.1702757728667,568.79374568,109.30936410148409,106.6391754292423,113.01783622221126,110.77359980659728,127.83362852148177
120,90.48184695483951,87.3237933383365,92.84838006026892,91.12064124570169,101.44558100346617,2678.524150298753,3755.061588153092,3255.343944797768,3071.626348434037,11025.619321804863,463.22024260261276,584.07945103,113.84378070476174,109.8703343675037,116.82134012637182,114.64750829887974,127.63829282784152
122,91.70552726058403,87.51592311547867,93.42107243486444,91.80514339251135,97.83845773935352,2861.9352048199207,3930.0934343840495,3442.186089667497,3255.2366352190597,11221.29623728357,462.2861239427921,601.3283141000001,119.0303945042569,113.5924427350956,121.25710891269408,119.15969257206694,126.99071223168004
124,89.19472283303989,84.98965004847652,90.32046410847329,88.78430152067841,97.89213894018602,3040.3246504860003,4100.072734481003,3622.8270178844436,3432.8052382604164,11417.080515163942,451.18127745085417,554.54435263,109.38628443508757,104.2292832911577,110.76686673237637,108.88295350937541,120.05258847111722
126,72.97086024208036,71.83694263643697,73.37141011458894,71.85012497585247,108.45748348499097,3186.266370970161,4243.746619753877,3769.5698381136217,3576.5054882121212,11633.995482133923,398.48682145394974,559.28563671,102.1599508169829,100.57245456931996,102.7207247360442,100.59090997935449,151.8415863784879
128,77.68224173543484,74.98468455726872,77.67467860591492,76.24899888904858,103.10581497488465,3341.630854441031,4393.715988868415,3924.9191953254517,3729.0034859902185,11840.207112083692,409.69641876255173,590.99847459,111.78594278153909,107.90411643832665,111.7750593216276,109.72348424225235,148.37085639830235
130,81.21470973705419,77.16055846808354,80.7541964583525,79.42680755409118,98.30426575348594,3504.060273915139,4548.037105804582,4086.4275882421566,3887.857101098401,12036.815643590664,416.86053797106734,618.5773204999999,120.2257044378062,114.22416612304151,119.54398639049518,117.57899425305565,145.5241253427995
132,84.47476091123679,79.10902965633345,83.55200690342248,82.32528772561093,93.55469047343718,3673.009795737613,4706.255165117249,4253.531602049002,4052.507676549623,12223.925024537539,423.01577567004085,642.4771374,127.99783802156192,119.86757529428391,126.59966279440657,124.74091349549519,141.75592790323591
134,85.34663882040462,79.23016944169302,83.95494853529246,82.81532413116436,90.72052012292144,3843.7030733784222,4864.715504000635,4421.441499119586,4218.138324811952,12405.366064783382,422.0676010514759,663.6578267,133.88159408786282,124.28680884582548,131.6984769033714,129.91077050983475,142.3114960167939
136,86.18611761045184,79.348501847925,84.34568133465807,83.29119105967247,87.94707443685246,4016.075308599326,5023.412507696485,4590.132861788902,4384.720706931297,12581.260213657088,421.11856628955985,682.5200871,139.35363472722784,128.29794924336576,136.37784823600987,134.67285146068306,142.20091154117833
138,85.61393944535257,78.40664012587649,83.3393624115306,82.3583777678795,86.38946861402377,4187.303187490032,5180.225787948238,4756.811586611963,4549.437462467056,12754.039150885135,416.10778836466295,705.9938298999999,144.90957658409386,132.71055035698336,141.05964283481887,139.39923484205602,146.22223202535514
140,88.10647354642347,79.83898550986204,85.43294965726385,84.54475086708624,82.30964077560506,4363.516134582878,5339.903758967962,4927.677485926491,4718.526964201229,12918.658432436345,420.23280035624066,722.7932294999999,151.18187021670346,136.99569009790656,146.59437141709233,145.0703113926889,141.23508669047325
142,87.11739793354559,78.62221069594204,84.04976182224055,83.22781687088033,81.18722050868044,4537.750930449969,5497.148180359846,5095.777009570972,4884.98259794299,13081.032873453705,414.2044078312889,736.9191306,154.61896823457758,139.5414163701408,149.17442166064376,147.71560535828033,144.09388442089352
144,85.42092404209328,76.87537633566058,81.97539972069535,81.21195372752119,80.66215749478516,4708.5927785341555,5650.898933031167,5259.727809012363,5047.406505398032,13242.357188443275,406.14581132075557,749.0267607999999,157.14900230027308,141.42774534555403,150.81026602949484,149.40575328881857,148.39429233341681
146,84.71549776173794,75.9138196498456,80.92019148909768,80.21939608170965,79.36241617814247,4878.023774057631,5802.726572330858,5421.568191990558,5207.845297561451,13401.08202079956,401.1313211605333,760.1741202999999,160.1430318855901,143.5046663472825,152.96852580944775,151.64376818851923,150.02376519440057
148,83.98035135066621,74.94773385470143,79.85505176103582,79.21421099785974,78.1187394782244,5045.984476758964,5952.622040040261,5581.2782955126295,5366.273719557171,13557.31949975601,396.1160874424876,770.0079734999999,162.8378758810915,145.3236332870395,154.83892122390523,153.59633117783747,151.47221223243326
150,85.5446113232868,75.80638149855538,81.1349057314531,80.56768022169307,75.14711620791738,5217.073699405538,6104.234803037371,5743.548106975536,5527.409080000557,13707.613732171843,398.2006949829057,771.5638107999999,165.3382049067483,146.5164297734717,156.81525067920876,155.71893325944032,145.24222046881454
152,87.10138981285903,76.67127722933283,82.41943403399144,81.92567419252975,72.1682421736341,5391.276479031256,6257.577357496037,5908.386975043519,5691.260428385616,13851.950216519112,400.28601744234714,760.7125493,165.11694255988496,145.34471729404913,156.2414214566262,155.3054075129202,136.80837381853794
154,86.60514594157107,75.95449129467707,81.6518651961835,81.21437438189064,70.85632019210092,5564.486770914398,6409.486340085391,6071.690705435885,5853.689177149397,13993.662856903313,396.2821970064232,755.2495326000001,164.63988692669466,144.39256146242107,155.22349979437607,154.3918120532661,134.70073189807437
156,85.74299847889037,74.9699014385585,80.53415777750885,80.14778880324995,69.86804076815812,5735.972767872179,6559.426142962508,6232.759020990903,6013.9847547558975,14133.398938439628,391.26288726636574,756.3021131,165.3167124349446,144.5456522079248,155.27381172437842,154.52887336504324,134.70901425153963
158,83.53709573938087,72.93713047119734,78.07317350532163,77.72553940916795,69.9133860632744,5903.046959350941,6705.300403904902,6388.905368001547,6169.435833574234,14273.225710566177,382.18632518834215,760.6269292,165.82158712292377,144.7805987014236,154.97567191904133,154.28561635687421,138.77844968800662
