,09A,10A,11A,12A,13A,14A,15A,16A,17A,18A,19A,20A,21A,22A,23A,24A,25A,26A,27A,28A,29A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,40A,41A,42A,43A,44A,App_Amps,Coulombs
86,4.912573880864681,4.872202780289619,0.27873095462893005,0.08463657700399096,49.47331327211596,54.487736085270065,49.54832089771509,39.179601204935,51.26653994046396,53.28923721545094,18.029078573147633,18.92990733305301,-4.05019060616715,-3.6443527607820707,-3.852055601794299,-3.784003906237242,-0.20766773343372869,-0.3635863359574225,0.16474028217874537,0.20249704869360663,0.8941332663749657,0.9145298515096627,0.1610084357688284,0.17918663677878977,-0.1269713982983829,-0.15616864287765786,-0.22045719006415165,-0.1333776213897928,-0.1503827111973597,-0.05845167791085504,-0.012761497472682404,0.03616748136548198,47.03016670041315,36.94261790503779,0.21501763310932276,-0.10991437478141641,414.221601897805,29934.74158463025
88,6.171252176435356,6.039525394620576,2.8172398808516768,2.71064601563117,41.83596606221859,46.01312137860531,48.65251284506657,38.43148379393905,54.986332522147194,56.55149459282099,21.57809973745171,22.549050336418045,-3.6753100107970917,-2.7900106005135337,-3.1222329426174733,-3.0404821057760643,-0.24881993774954436,-0.42508402190110894,0.21326462255078749,0.28675221828338593,0.9437140298069453,0.9665415899505501,0.22901353996643348,0.25103743437665527,0.006787221441315161,-0.11338999600372546,-0.28024598150981817,-0.17322671023779757,-0.1309878829368456,-0.04808220636329974,-0.00991191560172311,0.029400417709510185,44.68469986146084,37.80210923948266,0.08530422919645853,-0.10594260344456163,419.67162222497916,30774.08482908021
90,4.432633629821549,4.31698597650378,1.6591919377711726,1.5484459380346323,37.21387161520404,40.85059057424815,48.35894524953234,38.478324301443294,57.87532180018225,58.85625949986965,23.102284950528272,24.170056054510027,-0.27114224367234474,1.2465078078855774,-0.3850148927410091,-0.10476844617021186,0.3213243876727576,0.27304612590823707,-0.04518850103231831,0.03527886347231757,0.07121194041440315,0.09277143660075993,0.32564901959589454,0.3538830667650781,0.5809152669900266,0.24747563429953434,-0.39770248954917164,-0.2930015521039535,-0.2531444078953502,-0.1351468142945138,-0.048204667919501176,-0.0187742225609,40.63824947660342,34.932292627578214,-0.3336958438307427,-0.026446119992183714,417.66928697967313,31609.423403039556
92,3.0958737384145216,2.9283492362335792,2.0199782717531356,1.9835488042339193,34.002857629123284,37.26843262379315,46.20048668063001,36.82914634700414,55.39867605105601,56.2646323460787,24.46722610597439,25.46620291976409,2.6069538382814335,4.20625353928829,2.8335609484683095,3.0749643025233233,0.06055381997134468,0.03704803657307787,-0.30129164585291957,-0.26396831814930977,-0.45605060101804273,-0.41287781282233205,0.09479229000127054,0.12343975716187083,0.4152082028019839,0.30179313232260796,-0.18524162650729714,-0.158691067035726,-0.23318302492431275,-0.08753801322114807,0.04181848237296748,0.08771276618471413,38.57683119401028,35.253828827869214,-0.1775943361562975,-0.023851577648472233,411.3398818685538,32432.103166776666
94,3.396150848087043,3.251006006566165,1.1605754804864183,1.0776503882353268,31.476067861566168,34.586903890917576,43.73339770607393,34.684469150589635,54.687488153950746,55.32782024645638,26.43500941764085,27.44404294167956,4.236101981240359,5.82655656296832,3.9198550236365852,4.283543112928552,0.06900778635280691,0.02462210320849101,-0.23167057808192926,-0.19808613992594815,-0.25573868369551267,-0.20945705809240067,0.08178582782029586,0.11265180422644727,0.2932800467372596,0.23001252753476287,-0.15646238175949279,-0.13295362994890425,-0.22883075375863005,-0.0881394680768568,0.03380885093356545,0.08302924873621809,35.51272045133456,36.728604958572106,-0.03013993638560919,-0.035809622012533904,407.12887412674223,33246.36091503015
96,2.722557483441374,2.576800905232453,1.096502284637328,1.0445430496915549,28.679299499291364,31.468688450859325,40.86319565112157,32.27916109283976,53.35377484816278,53.9178340004767,28.198545218773347,29.217272179910015,6.469330879902919,7.969106348188027,5.669729469895002,6.126451809377624,0.0851904289542409,0.05350315650481052,-0.17384706296523422,-0.14144145218526205,-0.22847188276246388,-0.1878412402889893,0.055184987063229496,0.08239742512218395,0.23394639313963506,0.19331340065002767,-0.10377412033394773,-0.09032374497007378,-0.17956819838594118,-0.07088944835629496,0.026207704186906433,0.06301593219902824,34.16989309754942,37.997052852520945,0.00590483088155036,-0.01766670741898002,403.4245795229059,34053.21007407596
98,1.9663417215982797,1.8443607491663059,0.9310113450492175,0.903971410237915,25.86173531975351,28.26902864385385,37.6233857768043,29.541086089938176,52.386996987224826,52.933138594168724,29.948843210174342,30.978530464610145,8.958592049042622,10.325814282303057,7.631879608439042,8.178715295256008,0.08397958789078075,0.06498399777674013,-0.12128003165824897,-0.09507327155080603,-0.18985828547111172,-0.15797032722361415,0.030609447124517075,0.05196046639538787,0.1679239946999962,0.14732188166281457,-0.05837353299393211,-0.05313302418927979,-0.1281744886457319,-0.05174589350864922,0.018897910342935198,0.04388791651186286,33.68152694189635,39.2022191849883,0.02812908528698088,-0.004338989571648355,400.9449241173839,34855.09992231073
100,1.1807655325822104,1.0843012885504848,0.7667524352202868,0.7659942322355562,23.051918670130863,25.06911104471795,34.356249906896885,26.780470449150016,51.43559403133691,51.97349737819965,31.67101035710507,32.71149892647257,11.468667958626305,12.698115328203386,9.620248677043506,10.255308822827867,0.0814143304167314,0.07606575390555781,-0.07190574917402959,-0.05255757134585615,-0.15779736709134884,-0.13501793060158462,0.0052367116446525586,0.02043809018062781,0.10337264959237391,0.10272768970094681,-0.013262829098398932,-0.01635528497498928,-0.07772805668681082,-0.03310890993512405,0.01126324229790221,0.02475796378182693,33.323410607381135,40.38092568158371,0.048276438282448986,0.009462438557237718,398.51912293771665,35652.13816818616
102,0.7240697129598281,0.7426431604747492,-0.198528907166601,-0.23824434701128894,20.256692994734085,21.78930218784894,30.105914559860494,23.07733830366844,51.958447631567026,52.573989156272674,33.533110501127545,34.58885178526069,14.467505128386023,15.477450254505342,11.910864596439605,12.64604022772247,0.021813924597323897,0.009919123998944901,-0.029075116325167905,-0.033589593457161726,0.01685708740830716,0.02620363353910271,-0.006129041511631961,-0.0003820017563120892,-0.02165910235063162,0.006430970787241641,-0.00230046913363946,-0.004621787493518603,-0.043103069617437484,-0.01700765928951986,0.0053666242402492514,0.01742020486836049,34.49930308028735,41.53032243697324,0.09628054606357761,-0.008486989933442324,399.4790097485452,36451.09618768325
104,-0.0011070063797724572,-0.002806124274364663,-0.14585238624759356,-0.141753216530617,17.457128297539388,18.69452971648358,27.468252364116793,20.893479952246167,50.26310345528892,50.777243374712015,35.23508265607445,36.29875276174731,16.555006353902897,17.496402306940425,13.573107612142888,14.39867437119062,0.0508468938258102,0.05577025007094605,0.022736836261521454,0.019803566223309588,0.005864636786504285,0.011248093535241921,-0.038707394563762154,-0.03550450529707527,-0.06928023520887994,-0.015206719129936985,0.05689362348541316,0.04242068511438912,-0.0017548245099634485,-0.005114983232198611,-0.0051747604010325965,-0.004335894714402766,32.7386284053261,42.78769885288387,0.1376155333947109,0.016159159664971057,394.5898517084686,37240.27589110019
